,age,height_cm,weight_kg,wage_eur,international_reputation,weak_foot,skill_moves,release_clause_eur,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
81,25,188,78,125000,3,2,3,86600000.0,12.1145648312611,68.0,69.0,78.0,77.0,85.0,83.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,75,66,75,83,47,76,71,53,82,82,67,69,66,84,66,78,75,88,81,65,85,88,70,78,91,84,84,86,85
4814,21,187,80,25000,1,3,3,6100000.0,12.1145648312611,66.0,69.0,60.0,70.0,27.0,69.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,54,70,68,65,65,71,54,42,58,72,65,67,67,65,66,72,72,65,74,63,61,22,69,63,70,67,21,25,22
607,23,185,75,72000,1,3,4,33600000.0,12.1145648312611,80.0,64.0,74.0,83.0,28.0,68.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,69,66,42,81,51,84,68,40,66,84,78,81,78,75,75,70,47,74,72,54,54,24,76,81,59,72,30,26,23
429,24,185,85,96000,2,3,3,33700000.0,12.1145648312611,81.0,51.0,77.0,77.0,77.0,77.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,87,33,65,80,31,79,80,34,69,78,76,85,68,80,66,79,71,75,79,65,75,78,73,76,50,79,77,79,80
1540,28,180,78,63000,1,3,3,15200000.0,12.1145648312611,86.0,75.0,62.0,73.0,30.0,72.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,61,77,65,67,69,72,57,44,54,72,86,86,77,76,74,80,72,72,73,65,70,33,77,67,74,72,27,23,20
14042,18,179,66,2000,1,2,2,1200000.0,12.1145648312611,70.0,33.0,44.0,60.0,58.0,63.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,61,29,58,43,40,62,39,34,34,54,71,70,61,59,71,31,62,61,66,33,59,58,49,39,45,41,50,66,62
55,23,183,75,195000,2,3,4,125100000.0,19.0,95.0,81.0,79.0,86.0,38.0,70.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,83,81,72,80,85,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82,71,80,36,32,35
1042,24,185,74,52000,1,3,4,23700000.0,12.1145648312611,64.0,64.0,78.0,78.0,68.0,64.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,76,68,58,81,50,78,62,60,76,80,68,60,71,78,73,60,49,76,58,62,70,65,73,83,66,79,69,72,69
1990,29,183,76,55000,1,3,3,12400000.0,12.1145648312611,75.0,70.0,73.0,75.0,36.0,55.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,74,71,43,74,51,76,77,79,67,77,75,75,73,69,63,73,44,68,57,70,36,60,73,74,61,67,28,27,29
703,27,172,68,83000,3,2,3,24700000.0,12.1145648312611,64.0,68.0,80.0,81.0,63.0,66.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,73,63,58,84,64,81,77,71,80,82,68,60,76,76,83,74,66,64,60,72,81,63,77,82,65,80,62,64,65
1715,22,182,80,36000,1,3,4,18900000.0,12.1145648312611,74.0,65.0,72.0,76.0,73.0,70.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,65,56,60,75,41,77,62,75,72,75,72,75,74,71,78,82,59,74,69,74,68,77,68,74,58,72,70,76,73
1620,20,185,68,46000,1,3,3,24200000.0,12.1145648312611,71.0,62.0,73.0,73.0,69.0,74.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,67,56,67,76,49,73,72,55,78,74,69,72,69,72,66,74,68,78,72,68,76,71,64,75,49,78,68,71,68
14637,18,174,67,5000,1,3,3,1200000.0,12.1145648312611,68.0,60.0,51.0,59.0,30.0,49.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,48,60,55,55,56,56,54,40,45,57,68,68,73,60,71,62,60,51,49,60,45,20,58,53,55,55,26,33,24
2351,26,178,72,43000,1,2,3,12800000.0,12.1145648312611,86.0,67.0,66.0,73.0,69.0,75.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,69,64,64,72,64,74,62,34,58,70,84,88,79,71,76,77,75,79,75,61,70,69,73,69,67,65,69,70,71
2410,32,178,70,46000,2,2,3,8500000.0,9.0,80.0,72.0,61.0,71.0,36.0,69.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,70,72,74,63,69,72,54,37,49,69,81,79,68,75,72,77,93,65,64,65,80,42,75,63,72,68,31,27,24
9102,24,181,70,11000,1,3,3,1600000.0,12.1145648312611,68.0,48.0,62.0,70.0,64.0,65.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,73,47,54,61,42,71,67,47,57,69,69,67,70,62,70,48,60,64,70,51,55,62,47,57,52,57,66,67,61
7353,27,181,86,26000,1,3,3,1800000.0,12.1145648312611,52.0,60.0,69.0,66.0,67.0,65.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,69,59,63,71,44,66,65,57,68,69,54,50,60,67,67,69,69,62,64,58,69,65,63,69,52,69,69,67,66
6094,26,175,67,14000,1,2,3,2300000.0,12.1145648312611,78.0,43.0,59.0,67.0,64.0,74.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,64,40,55,66,33,65,54,37,57,66,79,77,78,63,73,46,82,83,67,44,76,59,55,51,45,61,68,67,65
244,23,168,64,80000,2,3,3,53300000.0,12.1145648312611,75.0,67.0,77.0,80.0,81.0,75.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,74,61,59,83,65,78,70,78,76,81,79,72,85,79,93,78,52,86,66,74,87,86,68,74,48,78,84,84,77
14018,19,167,67,10000,1,3,3,1400000.0,12.1145648312611,82.0,60.0,53.0,61.0,29.0,62.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,57,62,51,54,52,60,59,51,47,56,87,77,82,54,69,66,57,61,64,55,58,41,56,50,56,52,22,25,19
199,27,180,67,140000,2,3,3,57300000.0,8.0,55.0,63.0,84.0,81.0,70.0,73.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,75,57,56,89,71,81,75,76,87,85,61,50,77,81,72,71,58,85,66,62,79,76,68,87,84,79,62,77,70
444,25,188,84,76000,3,4,4,34600000.0,12.1145648312611,65.0,71.0,78.0,80.0,73.0,80.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,65,67,69,84,69,83,81,67,82,82,63,67,66,78,64,82,59,77,83,73,81,75,74,81,55,84,73,74,67
